"Retour au menu ""Les films les plus diffusés à la télévision""";;;;;;;;;;;;;;;;;;;;;;;;;;
VIENS CHEZ MOI J HABITE CHEZ...;LECONTE Patrice;1980;FRANCE;2024;33;23;0,8;;;;;;;;;;;;;;;;;;;
ROIS MAGES (LES);BOURDON Didier;2001;FRANCE;2024;33;25;1,7;;;;;;;;;;;;;;;;;;;
BILLY ELLIOT;DALDRY Stephen;2000;GRANDE BRETAGNE;2024;33;23;1,7;;;;;;;;;;;;;;;;;;;
MAMMA MIA;LLOYD Phyllida;2007;GRANDE BRETAGNE;2024;33;19;2,5;;;;;;;;;;;;;;;;;;;
FLIC DE BEVERLY HILLS 3 (LE);LANDIS John;1993;ETATS UNIS;2023;33;20;1,2;;;;;;;;;;;;;;;;;;;
PLACARD (LE);VEBER Francis;2000;FRANCE;2023;33;22;1,6;;;;;;;;;;;;;;;;;;;
TOUR DU MONDE EN 80 JOURS (LE);CORACI Frank;2004;GRANDE BRETAGNE;2022;33;22;2,1;;;;;;;;;;;;;;;;;;;
GREMLINS;DANTE Joe;1984;ETATS UNIS;2024;32;17;0,9;;;;;;;;;;;;;;;;;;;
GENDARME A NEW YORK (LE);GIRAULT Jean;1965;FRANCE / ITALIE;2024;32;22;0,7;;;;;;;;;;;;;;;;;;;
CRIME DE L ORIENT EXPRESS (LE);LUMET Sidney;1974;GRANDE BRETAGNE;2024;32;15;0,7;;;;;;;;;;;;;;;;;;;
RAMBO III;MacDONALD Peter;1988;ETATS UNIS;2024;32;18;1,0;;;;;;;;;;;;;;;;;;;
UN PONT TROP LOIN;ATTENBOROUGH Richard;1977;ETATS UNIS;2024;32;20;0,8;;;;;;;;;;;;;;;;;;;
COURSE A L ECHALOTE (LA);ZIDI Claude;1975;FRANCE;2024;32;16;0,7;;;;;;;;;;;;;;;;;;;
COUP DU PARAPLUIE (LE);OURY Gérard;1980;FRANCE;2023;32;15;0,8;;;;;;;;;;;;;;;;;;;
CANONS DE NAVARONE (LES);LEE THOMPSON Jack;1960;GRANDE BRETAGNE;2023;32;14;0,7;;;;;;;;;;;;;;;;;;;
OSCAR;MOLINARO Edouard;1967;FRANCE;2022;32;19;0,7;;;;;;;;;;;;;;;;;;;
GENDARME SE MARIE (LE);GIRAULT Jean;1968;FRANCE / ITALIE;2024;32;22;0,7;;;;;;;;;;;;;;;;;;;
POUIC POUIC;GIRAULT Jean;1963;FRANCE;2023;32;13;0,6;;;;;;;;;;;;;;;;;;;
INDOMPTABLE ANGELIQUE 1ERE EPOQUE;BORDERIE Bernard;1967;FRANCE / ALLEMAGNE;2022;32;16;0,6;;;;;;;;;;;;;;;;;;;
GUERRE DES BOUTONS (LA);ROBERT Yves;1961;FRANCE;2017;32;15;0,8;;;;;;;;;;;;;;;;;;;
TEMPS MODERNES (LES);CHAPLIN Charles;1935;ETATS UNIS;2021;32;9;0,5;;;;;;;;;;;;;;;;;;;
MISERABLES (LES);DREYFUS Jean-Paul;1957;FRANCE / Italie;2016;32;12;0,6;;;;;;;;;;;;;;;;;;;
ROBIN DES BOIS - RIDLEY SCOTT -;SCOTT Ridley;2010;GRANDE BRETAGNE;2024;32;19;2,7;;;;;;;;;;;;;;;;;;;
TAIS-TOI;VEBER Francis;2002;FRANCE / ITALIE;2024;32;22;1,9;;;;;;;;;;;;;;;;;;;
TRANSPORTEUR (LE);LETERRIER Louis;2002;FRANCE;2024;32;21;1,7;;;;;;;;;;;;;;;;;;;
MEN IN BLACK II;SONNENFELD Barry;2002;ETATS UNIS;2024;32;20;1,7;;;;;;;;;;;;;;;;;;;
SISTER ACT;ARDOLINO Emile;1992;ETATS UNIS;2024;32;18;1,1;;;;;;;;;;;;;;;;;;;
LARGO WINCH;SALLE Jerome;2008;FRANCE;2024;32;21;2,5;;;;;;;;;;;;;;;;;;;
HOOK;SPIELBERG Steven;1991;ETATS UNIS;2024;32;19;1,1;;;;;;;;;;;;;;;;;;;
IRON MAN;FAVREAU John;2007;ETATS UNIS;2024;32;21;2,5;;;;;;;;;;;;;;;;;;;
BOSSU - PHILIPPE DE BROCA - (LE);DE BROCA Philippe;1997;FRANCE;2024;32;19;1,3;;;;;;;;;;;;;;;;;;;
HISTOIRE SANS FIN (L');PETERSEN Wolfgang;1984;ALLEMAGNE;2024;31;18;0,9;;;;;;;;;;;;;;;;;;;
QUELQUES MESSIEURS TROP TRANQUILLES;LAUTNER Georges;1972;FRANCE;2019;31;14;0,7;;;;;;;;;;;;;;;;;;;
DEUX HOMMES DANS LA VILLE;GIOVANNI José;1973;FRANCE / ITALIE;2020;31;13;0,7;;;;;;;;;;;;;;;;;;;
ALI BABA ET LES 40 VOLEURS;BECKER Jacques;1954;FRANCE;2022;31;11;0,5;;;;;;;;;;;;;;;;;;;
MAMAN J AI RATE L AVION;COLUMBUS Chris;1990;ETATS UNIS;2024;31;16;1,0;;;;;;;;;;;;;;;;;;;
TINTIN ET LES ORANGES BLEUES;CONDROYER Philippe;1964;FRANCE / ESPAGNE;2019;31;16;0,6;;;;;;;;;;;;;;;;;;;
PRETTY WOMAN;MARSHALL Garry;1990;ETATS UNIS;2024;31;23;1,0;;;;;;;;;;;;;;;;;;;
BALLADE DES DALTON (LA);GOSCINNY René;1977;FRANCE;2024;31;12;0,8;;;;;;;;;;;;;;;;;;;
CAGE AUX FOLLES (LA);MOLINARO Edouard;1978;ITALIE / FRANCE;2019;31;16;0,8;;;;;;;;;;;;;;;;;;;
TOTALE (LA);ZIDI Claude;1991;FRANCE;2023;31;22;1,0;;;;;;;;;;;;;;;;;;;
ARME FATALE III (L');DONNER Richard;1992;ETATS UNIS;2024;31;19;1,1;;;;;;;;;;;;;;;;;;;
TAXI 2;KRAWCZYK Gérard;1999;FRANCE;2023;31;20;1,4;;;;;;;;;;;;;;;;;;;
I, ROBOT;PROYAS Alex;2004;ETATS UNIS;2023;31;20;1,9;;;;;;;;;;;;;;;;;;;
SLUMDOG MILLIONAIRE;BOYLE Danny;2008;GRANDE BRETAGNE;2024;31;19;2,6;;;;;;;;;;;;;;;;;;;
ON NE CHOISIT PAS SA FAMILLE;CLAVIER Christian;2011;FRANCE;2024;31;9;3,1;;;;;;;;;;;;;;;;;;;
OSS 117 LE CAIRE NID D ESPIONS;HAZANAVICIUS Michel;2005;FRANCE;2024;31;18;2,1;;;;;;;;;;;;;;;;;;;
FABULEUX DESTIN D AMELIE POULAIN (LE);JEUNET Jean-Pierre;2000;FRANCE / ALLEMAGNE;2024;31;22;1,5;;;;;;;;;;;;;;;;;;;
T4XI;KRAWCZYK Gérard;2006;France;2024;31;15;2,1;;;;;;;;;;;;;;;;;;;
PLUS BEAU METIER DU MONDE (LE);LAUZIER Gérard;1996;FRANCE;2023;31;22;1,2;;;;;;;;;;;;;;;;;;;
MRS DOUBTFIRE;COLUMBUS Chris;1993;ETATS UNIS;2024;31;19;1,2;;;;;;;;;;;;;;;;;;;
ALIVE;BERTHE Frederic;2003;FRANCE / BELGIQUE;2024;31;4;1,9;;;;;;;;;;;;;;;;;;;
LIGNE VERTE (LA);DARABONT Franck;2000;ETATS UNIS;2024;31;21;1,5;;;;;;;;;;;;;;;;;;;
DERNIER EMPEREUR (LE);BERTOLUCCI Bernardo;1987;ITALIE;2024;30;19;0,9;;;;;;;;;;;;;;;;;;;
SOLITAIRE (LE);DERAY Jacques;1986;FRANCE;2024;30;21;0,9;;;;;;;;;;;;;;;;;;;
GENDARME EN BALADE (LE);GIRAULT Jean;1970;FRANCE;2024;30;20;0,6;;;;;;;;;;;;;;;;;;;
MAIGRET TEND UN PIEGE;DELANNOY Jean;1957;FRANCE / ITALIE;2024;30;9;0,5;;;;;;;;;;;;;;;;;;;
RETOUR VERS LE FUTUR III;ZEMECKIS Robert;1990;ETATS UNIS;2024;30;20;1,0;;;;;;;;;;;;;;;;;;;
VACHE ET LE PRISONNIER (LA);VERNEUIL Henri;1959;FRANCE / Italie;2023;30;13;0,6;;;;;;;;;;;;;;;;;;;
FAITES SAUTER LA BANQUE;GIRAULT Jean;1963;FRANCE;2024;30;16;0,6;;;;;;;;;;;;;;;;;;;
SOLEIL ROUGE;YOUNG Terence;1971;FRANCE;2024;30;16;0,6;;;;;;;;;;;;;;;;;;;
MELODIE EN SOUS SOL;VERNEUIL Henri;1962;FRANCE / ITALIE;2024;30;10;0,6;;;;;;;;;;;;;;;;;;;
MORT SUR LE NIL;GUILLERMIN John;1978;GRANDE BRETAGNE;2021;30;17;0,7;;;;;;;;;;;;;;;;;;;
THE GOONIES;DONNER Richard;1985;ETATS UNIS;2024;30;17;0,9;;;;;;;;;;;;;;;;;;;
SAMOURAI (LE);MELVILLE Jean-Pierre;1967;FRANCE / ITALIE;2024;30;8;0,6;;;;;;;;;;;;;;;;;;;
TU PEUX GARDER UN SECRET;ARCADY Alexandre;2007;France;2024;30;7;2,3;;;;;;;;;;;;;;;;;;;
JOHNNY ENGLISH;HOWITT Peter;2003;GRANDE BRETAGNE;2024;30;17;1,7;;;;;;;;;;;;;;;;;;;
STALINGRAD - JEAN-JACQUES ANNAUD -;ANNAUD Jean-Jacques;2001;ALLEMAGNE;2024;30;20;1,5;;;;;;;;;;;;;;;;;;;
RANDONNEURS (LES);HAREL Philippe;1996;FRANCE;2024;30;20;1,2;;;;;;;;;;;;;;;;;;;
CODE MERCURY;BECKER Harold;1998;ETATS UNIS;2024;30;20;1,3;;;;;;;;;;;;;;;;;;;
COMME T Y ES BELLE;AZUELOS Lisa;2004;FRANCE / GRANDE BRETAGNE;2022;30;24;2,0;;;;;;;;;;;;;;;;;;;
SOIF DE L OR (LA);OURY Gérard;1992;FRANCE;2024;30;23;1,1;;;;;;;;;;;;;;;;;;;
ARTHUR ET LES MINIMOYS;BESSON Luc;2004;FRANCE;2024;30;21;2,0;;;;;;;;;;;;;;;;;;;
7 ANS DE MARIAGE...;BOURDON Didier;2003;FRANCE;2024;30;22;1,7;;;;;;;;;;;;;;;;;;;
GAZON MAUDIT;BALASKO Josiane;1994;FRANCE;2021;30;21;1,1;;;;;;;;;;;;;;;;;;;
X-MEN;SINGER Bryan;2000;ETATS UNIS;2021;30;17;1,4;;;;;;;;;;;;;;;;;;;
FAST AND FURIOUS 4;LIN Justin;2008;ETATS UNIS;2024;30;16;2,3;;;;;;;;;;;;;;;;;;;
MUNE LE GARDIEN DE LA LUNE;PHILIPPON Benoît;2014;FRANCE;2024;29;8;4,8;;;;;;;;;;;;;;;;;;;
TOUCHEZ PAS AU GRISBI;BECKER Jacques;1953;FRANCE / Italie;2024;29;10;0,7;;;;;;;;;;;;;;;;;;;
UNION SACREE (L');ARCADY Alexandre;1988;FRANCE;2020;29;23;0,9;;;;;;;;;;;;;;;;;;;
MEURTRE AU SOLEIL;HAMILTON Guy;1981;GRANDE BRETAGNE;2024;29;15;0,8;;;;;;;;;;;;;;;;;;;
MOUTARDE ME MONTE AU NEZ (LA);ZIDI Claude;1974;FRANCE;2023;29;12;0,6;;;;;;;;;;;;;;;;;;;
JEUX INTERDITS;CLEMENT René;1951;FRANCE;2024;29;13;0,6;;;;;;;;;;;;;;;;;;;
ENFANTS DU PARADIS (LES);CARNE Marcel;1945;FRANCE;2012;29;5;0,5;;;;;;;;;;;;;;;;;;;
POINT BREAK EXTREME LIMITE;BIGELOW Kathryn;1991;ETATS UNIS;2024;29;11;1,0;;;;;;;;;;;;;;;;;;;
GUIGNOLO (LE);LAUTNER Georges;1979;FRANCE / ITALIE;2015;29;19;0,7;;;;;;;;;;;;;;;;;;;
ROMUALD ET JULIETTE;SERREAU Coline;1988;FRANCE;2020;29;23;0,9;;;;;;;;;;;;;;;;;;;
COMPERES (LES);VEBER Francis;1983;FRANCE;2024;29;20;0,8;;;;;;;;;;;;;;;;;;;
TRIBULATIONS D UN CHINOIS EN CHINE (LES);DE BROCA Philippe;1965;FRANCE / ITALIE;2024;29;7;0,5;;;;;;;;;;;;;;;;;;;
PINOT SIMPLE FLIC;JUGNOT Gérard;1984;FRANCE;2017;29;23;0,8;;;;;;;;;;;;;;;;;;;
ESPION LEVE TOI;BOISSET Yves;1981;FRANCE;2021;29;16;0,7;;;;;;;;;;;;;;;;;;;
TAKEN;MOREL Pierre;2007;France;2024;29;16;2,2;;;;;;;;;;;;;;;;;;;
AUBERGE ESPAGNOLE (L');KLAPISCH Cédric;2001;FRANCE / ESPAGNE;2024;29;18;1,5;;;;;;;;;;;;;;;;;;;
X MEN II;SINGER Bryan;2002;ETATS UNIS;2021;29;19;1,6;;;;;;;;;;;;;;;;;;;
BATMAN BEGINS;NOLAN Christopher;2004;ETATS UNIS;2024;29;18;1,8;;;;;;;;;;;;;;;;;;;
COYOTE GIRLS;MacNALLY David;2000;ETATS UNIS;2024;29;19;1,5;;;;;;;;;;;;;;;;;;;
TANGUY;CHATILIEZ Etienne;2001;FRANCE;2023;29;22;1,5;;;;;;;;;;;;;;;;;;;
SPEED - GRAHAM YOST -;DE BONT Jan;1993;ETATS UNIS;2023;29;19;1,1;;;;;;;;;;;;;;;;;;;
ARTHUR ET LA VENGEANCE DE MALTAZARD;BESSON Luc;2008;FRANCE;2024;29;18;2,4;;;;;;;;;;;;;;;;;;;
GENS EN MAILLOT DE BAIN... NE SONT P (LES);ASSOUS Eric;1999;FRANCE;2024;29;18;1,4;;;;;;;;;;;;;;;;;;;
EVADES (LES) - FRANK DARABONT -;DARABONT Franck;1994;ETATS UNIS;2024;29;23;1,1;;;;;;;;;;;;;;;;;;;
BRICE DE NICE;HUTH James;2004;FRANCE;2024;29;21;1,7;;;;;;;;;;;;;;;;;;;
TRIPLETTES DE BELLEVILLE (LES);CHOMET Sylvain;2000;FRANCE / CANADA;2022;29;17;1,5;;;;;;;;;;;;;;;;;;;
COMME UN CHEF;COHEN Daniel;2011;FRANCE  / ESPAGNE;2024;28;16;3,1;;;;;;;;;;;;;;;;;;;
POUR UNE POIGNEE DE DOLLARS;LEONE Sergio;1964;ITALIE;2024;28;19;0,8;;;;;;;;;;;;;;;;;;;
DICTATEUR (LE);CHAPLIN Charles;1940;ETATS UNIS;2021;28;8;0,6;;;;;;;;;;;;;;;;;;;
BON LA BRUTE ET LE TRUAND (LE);LEONE Sergio;1966;ITALIE;2024;28;21;0,7;;;;;;;;;;;;;;;;;;;
CESAR ET ROSALIE;SAUTET Claude;1972;FRANCE;2023;28;12;0,6;;;;;;;;;;;;;;;;;;;
SHOAH;LANZMANN Claude;1979;SUISSE / FRANCE;2024;28;16;0,8;;;;;;;;;;;;;;;;;;;
BONS BAISERS DE RUSSIE;YOUNG Terence;1963;GRANDE BRETAGNE;2023;28;15;0,8;;;;;;;;;;;;;;;;;;;
FEMME DE MON POTE (LA);BLIER Bertrand;1983;FRANCE;2020;28;17;0,8;;;;;;;;;;;;;;;;;;;
COUP DE TORCHON;TAVERNIER Bertrand;1981;FRANCE;2024;28;11;0,7;;;;;;;;;;;;;;;;;;;
SOS FANTOMES II;REITMAN Ivan;1989;ETATS UNIS;2021;28;12;0,9;;;;;;;;;;;;;;;;;;;
ADIEU POULET;GRANIER-DEFERRE Pierre;1975;FRANCE;2023;28;16;0,6;;;;;;;;;;;;;;;;;;;
ET DIEU CREA LA FEMME;VADIM Roger;1956;FRANCE;2018;28;8;0,6;;;;;;;;;;;;;;;;;;;
TERMINATOR 2;CAMERON James;1991;ETATS UNIS;2024;28;15;1,0;;;;;;;;;;;;;;;;;;;
JAMES BOND 007 CONTRE DR NO;YOUNG Terence;1962;GRANDE BRETAGNE;2020;28;16;0,8;;;;;;;;;;;;;;;;;;;
TROU NORMAND (LE);BOYER Jean;1952;FRANCE;2017;28;17;0,5;;;;;;;;;;;;;;;;;;;
MARCHE A L OMBRE;BLANC Michel;1984;FRANCE;2024;28;17;0,8;;;;;;;;;;;;;;;;;;;
MALHEURS D ALFRED (LES);RICHARD Pierre;1971;FRANCE;2020;28;13;0,6;;;;;;;;;;;;;;;;;;;
TROIS HOMMES ET UN COUFFIN;SERREAU Coline;1985;FRANCE;2024;28;13;0,8;;;;;;;;;;;;;;;;;;;
SALAIRE DE LA PEUR (LE);CLOUZOT Henri-Georges;1951;FRANCE / Italie;2022;28;11;0,5;;;;;;;;;;;;;;;;;;;
SHERLOCK HOLMES - GUY RITCHIE -;RITCHIE Guy;2008;GRANDE BRETAGNE;2024;28;16;2,3;;;;;;;;;;;;;;;;;;;
GOOD BYE LENIN;BECKER Wolfgang;2003;ALLEMAGNE;2023;28;9;1,6;;;;;;;;;;;;;;;;;;;
MASQUE DE L ARAIGNEE (LE);TAMAHORI Lee;2001;ETATS UNIS;2024;28;21;1,4;;;;;;;;;;;;;;;;;;;
ET AU MILIEU COULE UNE RIVIERE;REDFORD Robert;1992;ETATS UNIS;2024;28;16;1,0;;;;;;;;;;;;;;;;;;;
JURASSIC PARK III;JOHNSTON Joe;2001;ETATS UNIS;2024;28;19;1,4;;;;;;;;;;;;;;;;;;;
THE QUEEN;FREARS Stephen;2005;GRANDE BRETAGNE / FRANCE;2024;28;16;2,0;;;;;;;;;;;;;;;;;;;
TOUS A L OUEST UNE AVENTURE DE LUCKY LUK;JEAN MARIE Olivier;2006;France;2024;28;18;2,0;;;;;;;;;;;;;;;;;;;
THE ROCK;BAY Michael;1995;ETATS UNIS;2024;28;24;1,1;;;;;;;;;;;;;;;;;;;
J AI FAIM;QUENTIN Florence;2000;FRANCE;2022;28;21;1,4;;;;;;;;;;;;;;;;;;;
BEETHOVEN 2;DANIEL Rod;1993;ETATS UNIS;2024;28;12;1,0;;;;;;;;;;;;;;;;;;;
ARMAGEDDON;BAY Michael;1998;ETATS UNIS;2024;28;20;1,3;;;;;;;;;;;;;;;;;;;
SISTER ACT ACTE 2;DUKE Bill;1993;ETATS UNIS;2024;28;15;1,0;;;;;;;;;;;;;;;;;;;
TRANSPORTEUR II (LE);LETERRIER Louis;2005;FRANCE;2024;28;16;1,8;;;;;;;;;;;;;;;;;;;
MEMOIRE DANS LA PEAU (LA);LIMAN Doug;2001;ETATS UNIS;2024;28;17;1,5;;;;;;;;;;;;;;;;;;;
TRUE LIES LE CAMELEON;CAMERON James;1994;ETATS UNIS;2021;28;19;1,1;;;;;;;;;;;;;;;;;;;
FAST AND FURIOUS TOKYO DRIFT;LIN Justin;2005;ETATS UNIS;2020;28;13;1,9;;;;;;;;;;;;;;;;;;;
FAST & FURIOUS 2;SINGLETON John;2003;ETATS UNIS;2022;28;15;1,6;;;;;;;;;;;;;;;;;;;
