titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;titre_norm;imdb_genres_brut;genre;match_score;imdb_tconst;imdb_title;imdb_year;match_field
FABULEUX DESTIN D AMELIE POULAIN (LE);JEUNET Jean-Pierre;2000;FRANCE / ALLEMAGNE;2024;31;22;1,5;FABULEUX DESTIN D AMELIE POULAIN;Comedy,Romance;Comédie;92.53731343283582;tt0211915;Amélie;2001;originalTitle
T4XI;KRAWCZYK Gérard;2006;France;2024;31;15;2,1;T4XI;Drama;Drame;90.0;tt0092244;X;1986;primaryTitle
PLUS BEAU METIER DU MONDE (LE);LAUZIER Gérard;1996;FRANCE;2023;31;22;1,2;PLUS BEAU METIER DU MONDE;Comedy,Drama;Comédie;90.56603773584906;tt0117351;The Best Job in the World;1996;originalTitle
MRS DOUBTFIRE;COLUMBUS Chris;1993;ETATS UNIS;2024;31;19;1,2;MRS DOUBTFIRE;Comedy,Drama,Family;Comédie;100.0;tt0107614;Mrs. Doubtfire;1993;primaryTitle
ALIVE;BERTHE Frederic;2003;FRANCE / BELGIQUE;2024;31;4;1,9;ALIVE;Biography,Drama,Thriller;Drame;100.0;tt0106246;Alive;1993;primaryTitle
LIGNE VERTE (LA);DARABONT Franck;2000;ETATS UNIS;2024;31;21;1,5;LIGNE VERTE;\N;;90.0;tt0102617;Ôte;1991;primaryTitle
DERNIER EMPEREUR (LE);BERTOLUCCI Bernardo;1987;ITALIE;2024;30;19;0,9;DERNIER EMPEREUR;Crime,Drama;Policier;90.0;tt0071984;Per;1975;primaryTitle
SOLITAIRE (LE);DERAY Jacques;1986;FRANCE;2024;30;21;0,9;SOLITAIRE;Drama;Drame;100.0;tt0102955;Solitaire;1991;primaryTitle
GENDARME EN BALADE (LE);GIRAULT Jean;1970;FRANCE;2024;30;20;0,6;GENDARME EN BALADE;Comedy,Crime;Comédie;95.0;tt0065769;The Gendarme Takes Off;1970;originalTitle
MAIGRET TEND UN PIEGE;DELANNOY Jean;1957;FRANCE / ITALIE;2024;30;9;0,5;MAIGRET TEND UN PIEGE;Crime,Drama,Mystery;Policier;95.23809523809523;tt0050669;Inspector Maigret;1958;originalTitle
RETOUR VERS LE FUTUR III;ZEMECKIS Robert;1990;ETATS UNIS;2024;30;20;1,0;RETOUR VERS LE FUTUR III;Adventure,Drama,History;Aventure;90.0;tt0086497;Utu;1983;primaryTitle
VACHE ET LE PRISONNIER (LA);VERNEUIL Henri;1959;FRANCE / Italie;2023;30;13;0,6;VACHE ET LE PRISONNIER;Adventure,Comedy,War;Comédie;95.0;tt0053403;The Cow and I;1959;originalTitle
FAITES SAUTER LA BANQUE;GIRAULT Jean;1963;FRANCE;2024;30;16;0,6;FAITES SAUTER LA BANQUE;Comedy,Crime;Comédie;100.0;tt0057051;Let's Rob the Bank;1964;originalTitle
SOLEIL ROUGE;YOUNG Terence;1971;FRANCE;2024;30;16;0,6;SOLEIL ROUGE;Sci-Fi;Science-fiction;100.0;tt3357900;Soleil Rouge;2021;primaryTitle
MELODIE EN SOUS SOL;VERNEUIL Henri;1962;FRANCE / ITALIE;2024;30;10;0,6;MELODIE EN SOUS SOL;Crime,Drama,Romance;Policier;94.73684210526316;tt0057344;Any Number Can Win;1963;originalTitle
MORT SUR LE NIL;GUILLERMIN John;1978;GRANDE BRETAGNE;2021;30;17;0,7;MORT SUR LE NIL;Comedy,Crime;Comédie;90.0;tt0117068;Mo';1995;primaryTitle
THE GOONIES;DONNER Richard;1985;ETATS UNIS;2024;30;17;0,9;THE GOONIES;Adventure,Comedy,Family;Comédie;100.0;tt0089218;The Goonies;1985;primaryTitle
SAMOURAI (LE);MELVILLE Jean-Pierre;1967;FRANCE / ITALIE;2024;30;8;0,6;SAMOURAI;Drama,War;Historique;93.33333333333333;tt0134944;Samurai;1945;primaryTitle
TU PEUX GARDER UN SECRET;ARCADY Alexandre;2007;France;2024;30;7;2,3;TU PEUX GARDER UN SECRET;Comedy,Romance;Comédie;100.0;tt1064976;Tu peux garder un secret?;2008;primaryTitle
JOHNNY ENGLISH;HOWITT Peter;2003;GRANDE BRETAGNE;2024;30;17;1,7;JOHNNY ENGLISH;Action,Adventure,Comedy;Comédie;100.0;tt0274166;Johnny English;2003;primaryTitle
STALINGRAD - JEAN-JACQUES ANNAUD -;ANNAUD Jean-Jacques;2001;ALLEMAGNE;2024;30;20;1,5;STALINGRAD JEAN JACQUES ANNAUD;Crime,Drama;Policier;90.0;tt0028089;Anna;1936;primaryTitle
RANDONNEURS (LES);HAREL Philippe;1996;FRANCE;2024;30;20;1,2;RANDONNEURS;Comedy,Romance;Comédie;95.0;tt0119981;Hikers;1997;originalTitle
CODE MERCURY;BECKER Harold;1998;ETATS UNIS;2024;30;20;1,3;CODE MERCURY;Drama;Drame;90.0;tt0055159;Me;1961;primaryTitle
COMME T Y ES BELLE;AZUELOS Lisa;2004;FRANCE / GRANDE BRETAGNE;2022;30;24;2,0;COMME T Y ES BELLE;Comedy,Romance;Comédie;100.0;tt0469055;Hey Good Looking!;2006;originalTitle
SOIF DE L OR (LA);OURY Gérard;1992;FRANCE;2024;30;23;1,1;SOIF DE L OR;Adventure,Comedy,Crime;Comédie;95.0;tt0108179;Thirst for Gold;1993;originalTitle
ARTHUR ET LES MINIMOYS;BESSON Luc;2004;FRANCE;2024;30;21;2,0;ARTHUR ET LES MINIMOYS;Adventure,Animation,Comedy;Animation;100.0;tt0344854;Arthur and the Invisibles;2006;originalTitle
7 ANS DE MARIAGE...;BOURDON Didier;2003;FRANCE;2024;30;22;1,7;7 ANS DE MARIAGE;Comedy;Comédie;100.0;tt0339525;Married for 7 Years;2003;originalTitle
GAZON MAUDIT;BALASKO Josiane;1994;FRANCE;2021;30;21;1,1;GAZON MAUDIT;Comedy,Romance;Comédie;100.0;tt0113149;French Twist;1995;originalTitle
X-MEN;SINGER Bryan;2000;ETATS UNIS;2021;30;17;1,4;X MEN;Action,Adventure,Sci-Fi;Action;100.0;tt0120903;X-Men;2000;primaryTitle
FAST AND FURIOUS 4;LIN Justin;2008;ETATS UNIS;2024;30;16;2,3;FAST AND FURIOUS 4;Comedy,Sport;Comédie;95.0;tt0017866;Fast and Furious;1927;primaryTitle
MUNE LE GARDIEN DE LA LUNE;PHILIPPON Benoît;2014;FRANCE;2024;29;8;4,8;MUNE LE GARDIEN DE LA LUNE;Adventure,Animation,Comedy;Animation;100.0;tt3858372;Mune: Guardian of the Moon;2014;originalTitle
TOUCHEZ PAS AU GRISBI;BECKER Jacques;1953;FRANCE / Italie;2024;29;10;0,7;TOUCHEZ PAS AU GRISBI;Crime,Drama;Policier;100.0;tt0046451;Touchez pas au grisbi;1954;primaryTitle
UNION SACREE (L');ARCADY Alexandre;1988;FRANCE;2020;29;23;0,9;UNION SACREE;\N;;91.66666666666666;tt0209454;Union sacrée;1915;primaryTitle
MEURTRE AU SOLEIL;HAMILTON Guy;1981;GRANDE BRETAGNE;2024;29;15;0,8;MEURTRE AU SOLEIL;Drama;Drame;90.0;tt0019404;Sole!;1929;primaryTitle
MOUTARDE ME MONTE AU NEZ (LA);ZIDI Claude;1974;FRANCE;2023;29;12;0,6;MOUTARDE ME MONTE AU NEZ;Comedy;Comédie;95.0;tt0071863;I'm Losing My Temper;1974;originalTitle
JEUX INTERDITS;CLEMENT René;1951;FRANCE;2024;29;13;0,6;JEUX INTERDITS;Drama,War;Historique;100.0;tt0043686;Forbidden Games;1952;originalTitle
ENFANTS DU PARADIS (LES);CARNE Marcel;1945;FRANCE;2012;29;5;0,5;ENFANTS DU PARADIS;Drama,Romance;Drame;95.0;tt0037674;Children of Paradise;1945;originalTitle
POINT BREAK EXTREME LIMITE;BIGELOW Kathryn;1991;ETATS UNIS;2024;29;11;1,0;POINT BREAK EXTREME LIMITE;Drama,Romance;Drame;90.0;tt0022080;Limit;1931;primaryTitle
GUIGNOLO (LE);LAUTNER Georges;1979;FRANCE / ITALIE;2015;29;19;0,7;GUIGNOLO;Action,Comedy,Crime;Comédie;95.0;tt0079252;Le Guignolo;1980;primaryTitle
ROMUALD ET JULIETTE;SERREAU Coline;1988;FRANCE;2020;29;23;0,9;ROMUALD ET JULIETTE;Comedy,Drama,Romance;Comédie;100.0;tt0098220;Mama, There's a Man in Your Bed;1989;originalTitle
COMPERES (LES);VEBER Francis;1983;FRANCE;2024;29;20;0,8;COMPERES;Crime,Mystery,Thriller;Policier;90.0;tt0022100;M;1931;primaryTitle
TRIBULATIONS D UN CHINOIS EN CHINE (LES);DE BROCA Philippe;1965;FRANCE / ITALIE;2024;29;7;0,5;TRIBULATIONS D UN CHINOIS EN CHINE;Action,Adventure,Comedy;Comédie;95.0;tt0059831;Up to His Ears;1965;originalTitle
PINOT SIMPLE FLIC;JUGNOT Gérard;1984;FRANCE;2017;29;23;0,8;PINOT SIMPLE FLIC;Comedy,Drama;Comédie;100.0;tt0087917;Pinot simple flic;1984;primaryTitle
ESPION LEVE TOI;BOISSET Yves;1981;FRANCE;2021;29;16;0,7;ESPION LEVE TOI;Crime,Drama,Thriller;Policier;93.33333333333333;tt0082342;Espion, lève-toi;1982;primaryTitle
TAKEN;MOREL Pierre;2007;France;2024;29;16;2,2;TAKEN;Drama,Thriller;Drame;100.0;tt0208495;Taken;1999;primaryTitle
AUBERGE ESPAGNOLE (L');KLAPISCH Cédric;2001;FRANCE / ESPAGNE;2024;29;18;1,5;AUBERGE ESPAGNOLE;Comedy,Drama,Romance;Comédie;95.0;tt0283900;The Spanish Apartment;2002;originalTitle
X MEN II;SINGER Bryan;2002;ETATS UNIS;2021;29;19;1,6;X MEN II;Comedy;Comédie;95.0;tt0110489;Men Men Men;1995;primaryTitle
BATMAN BEGINS;NOLAN Christopher;2004;ETATS UNIS;2024;29;18;1,8;BATMAN BEGINS;Action,Crime,Drama;Policier;100.0;tt0372784;Batman Begins;2005;primaryTitle
COYOTE GIRLS;MacNALLY David;2000;ETATS UNIS;2024;29;19;1,5;COYOTE GIRLS;Comedy,Musical;Comédie;95.0;tt0056023;Girls! Girls! Girls!;1962;primaryTitle
TANGUY;CHATILIEZ Etienne;2001;FRANCE;2023;29;22;1,5;TANGUY;Comedy;Comédie;100.0;tt0274155;Tanguy;2001;primaryTitle
SPEED - GRAHAM YOST -;DE BONT Jan;1993;ETATS UNIS;2023;29;19;1,1;SPEED GRAHAM YOST;Action,Drama;Action;90.0;tt0013630;Speed;1922;primaryTitle
ARTHUR ET LA VENGEANCE DE MALTAZARD;BESSON Luc;2008;FRANCE;2024;29;18;2,4;ARTHUR ET LA VENGEANCE DE MALTAZARD;Adventure,Animation,Family;Animation;100.0;tt0940657;Arthur and the Revenge of Maltazard;2009;originalTitle
GENS EN MAILLOT DE BAIN... NE SONT P (LES);ASSOUS Eric;1999;FRANCE;2024;29;18;1,4;GENS EN MAILLOT DE BAIN NE SONT P;Comedy,Romance;Comédie;90.0;tt0237106;People in Swimsuits Aren't (Necessarily) Shallow;2001;originalTitle
EVADES (LES) - FRANK DARABONT -;DARABONT Franck;1994;ETATS UNIS;2024;29;23;1,1;EVADES LES FRANK DARABONT;Drama;Drame;90.0;tt0089166;Fran;1985;primaryTitle
BRICE DE NICE;HUTH James;2004;FRANCE;2024;29;21;1,7;BRICE DE NICE;Comedy;Comédie;100.0;tt0412535;The Brice Man;2005;originalTitle
TRIPLETTES DE BELLEVILLE (LES);CHOMET Sylvain;2000;FRANCE / CANADA;2022;29;17;1,5;TRIPLETTES DE BELLEVILLE;Adventure,Animation,Comedy;Animation;95.0;tt0286244;The Triplets of Belleville;2003;originalTitle
COMME UN CHEF;COHEN Daniel;2011;FRANCE  / ESPAGNE;2024;28;16;3,1;COMME UN CHEF;Comedy,Drama;Comédie;100.0;tt1911553;The Chef;2012;originalTitle
POUR UNE POIGNEE DE DOLLARS;LEONE Sergio;1964;ITALIE;2024;28;19;0,8;POUR UNE POIGNEE DE DOLLARS;Comedy;Comédie;90.0;tt0030066;Dollar;1938;primaryTitle
DICTATEUR (LE);CHAPLIN Charles;1940;ETATS UNIS;2021;28;8;0,6;DICTATEUR;Drama;Drame;90.0;tt0084091;At;1982;primaryTitle
BON LA BRUTE ET LE TRUAND (LE);LEONE Sergio;1966;ITALIE;2024;28;21;0,7;BON LA BRUTE ET LE TRUAND;Documentary;Documentaire;95.0;tt30647588;L'usine, le bon, la brute et le truand;2024;primaryTitle
CESAR ET ROSALIE;SAUTET Claude;1972;FRANCE;2023;28;12;0,6;CESAR ET ROSALIE;Drama,Romance;Drame;95.0;tt0068441;Cesar & Rosalie;1972;primaryTitle
SHOAH;LANZMANN Claude;1979;SUISSE / FRANCE;2024;28;16;0,8;SHOAH;Documentary,History,War;Historique;100.0;tt0090015;Shoah;1985;primaryTitle
BONS BAISERS DE RUSSIE;YOUNG Terence;1963;GRANDE BRETAGNE;2023;28;15;0,8;BONS BAISERS DE RUSSIE;Drama;Drame;90.0;tt0024583;Sôbô;1933;primaryTitle
FEMME DE MON POTE (LA);BLIER Bertrand;1983;FRANCE;2020;28;17;0,8;FEMME DE MON POTE;Comedy,Drama,Romance;Comédie;95.0;tt0085529;My Best Friend's Girl;1983;originalTitle
COUP DE TORCHON;TAVERNIER Bertrand;1981;FRANCE;2024;28;11;0,7;COUP DE TORCHON;Comedy,Crime,Drama;Comédie;100.0;tt0082206;Coup de torchon;1981;primaryTitle
SOS FANTOMES II;REITMAN Ivan;1989;ETATS UNIS;2021;28;12;0,9;SOS FANTOMES II;Crime,Drama;Policier;90.0;tt0028852;Fant;1937;primaryTitle
ADIEU POULET;GRANIER-DEFERRE Pierre;1975;FRANCE;2023;28;16;0,6;ADIEU POULET;Crime,Drama;Policier;100.0;tt0072603;The French Detective;1975;originalTitle
ET DIEU CREA LA FEMME;VADIM Roger;1956;FRANCE;2018;28;8;0,6;ET DIEU CREA LA FEMME;Drama,Romance;Drame;95.23809523809523;tt0049189;...And God Created Woman;1956;originalTitle
TERMINATOR 2;CAMERON James;1991;ETATS UNIS;2024;28;15;1,0;TERMINATOR 2;Drama;Drame;95.0;tt37959108;Terminator;\N;primaryTitle
JAMES BOND 007 CONTRE DR NO;YOUNG Terence;1962;GRANDE BRETAGNE;2020;28;16;0,8;JAMES BOND 007 CONTRE DR NO;Action,Adventure,Thriller;Action;90.0;tt0055928;Dr. No;1962;primaryTitle
TROU NORMAND (LE);BOYER Jean;1952;FRANCE;2017;28;17;0,5;TROU NORMAND;Comedy;Comédie;95.0;tt0045265;Crazy for Love;1952;originalTitle
MARCHE A L OMBRE;BLANC Michel;1984;FRANCE;2024;28;17;0,8;MARCHE A L OMBRE;Comedy,Drama;Comédie;95.0;tt0087681;Marche à l'ombre;1984;primaryTitle
MALHEURS D ALFRED (LES);RICHARD Pierre;1971;FRANCE;2020;28;13;0,6;MALHEURS D ALFRED;Comedy,Romance,Sport;Comédie;95.0;tt0067385;The Troubles of Alfred;1972;originalTitle
TROIS HOMMES ET UN COUFFIN;SERREAU Coline;1985;FRANCE;2024;28;13;0,8;TROIS HOMMES ET UN COUFFIN;Comedy;Comédie;90.47619047619048;tt0090206;Three Men and a Cradle;1985;originalTitle
SALAIRE DE LA PEUR (LE);CLOUZOT Henri-Georges;1951;FRANCE / Italie;2022;28;11;0,5;SALAIRE DE LA PEUR;Adventure,Drama,Thriller;Aventure;95.0;tt0046268;The Wages of Fear;1953;originalTitle
SHERLOCK HOLMES - GUY RITCHIE -;RITCHIE Guy;2008;GRANDE BRETAGNE;2024;28;16;2,3;SHERLOCK HOLMES GUY RITCHIE;Crime,Mystery;Policier;90.0;tt0007338;Sherlock Holmes;1916;primaryTitle
GOOD BYE LENIN;BECKER Wolfgang;2003;ALLEMAGNE;2023;28;9;1,6;GOOD BYE LENIN;Comedy,Drama,Romance;Comédie;100.0;tt0301357;Good Bye Lenin!;2003;primaryTitle
MASQUE DE L ARAIGNEE (LE);TAMAHORI Lee;2001;ETATS UNIS;2024;28;21;1,4;MASQUE DE L ARAIGNEE;\N;;90.0;tt0107527;Masque;1993;primaryTitle
ET AU MILIEU COULE UNE RIVIERE;REDFORD Robert;1992;ETATS UNIS;2024;28;16;1,0;ET AU MILIEU COULE UNE RIVIERE;Drama,Family,Musical;Comédie;90.0;tt0073391;Mili;1975;primaryTitle
JURASSIC PARK III;JOHNSTON Joe;2001;ETATS UNIS;2024;28;19;1,4;JURASSIC PARK III;Action,Adventure,Sci-Fi;Action;100.0;tt0163025;Jurassic Park III;2001;primaryTitle
THE QUEEN;FREARS Stephen;2005;GRANDE BRETAGNE / FRANCE;2024;28;16;2,0;THE QUEEN;Documentary;Documentaire;100.0;tt0063477;The Queen;1968;primaryTitle
TOUS A L OUEST UNE AVENTURE DE LUCKY LUK;JEAN MARIE Olivier;2006;France;2024;28;18;2,0;TOUS A L OUEST UNE AVENTURE DE LUCKY LUK;Adventure,Animation,Comedy;Animation;96.20253164556962;tt0792992;Go West: A Lucky Luke Adventure;2007;originalTitle
THE ROCK;BAY Michael;1995;ETATS UNIS;2024;28;24;1,1;THE ROCK;Action,Adventure,Thriller;Action;100.0;tt0117500;The Rock;1996;primaryTitle
J AI FAIM;QUENTIN Florence;2000;FRANCE;2022;28;21;1,4;J AI FAIM;Comedy;Comédie;100.0;tt0285631;J'ai faim!!!;2001;primaryTitle
BEETHOVEN 2;DANIEL Rod;1993;ETATS UNIS;2024;28;12;1,0;BEETHOVEN 2;Comedy,Drama,Family;Comédie;95.0;tt0103786;Beethoven;1992;primaryTitle
ARMAGEDDON;BAY Michael;1998;ETATS UNIS;2024;28;20;1,3;ARMAGEDDON;Action,Sci-Fi;Action;100.0;tt0064039;Armageddon;1969;primaryTitle
SISTER ACT ACTE 2;DUKE Bill;1993;ETATS UNIS;2024;28;15;1,0;SISTER ACT ACTE 2;Drama,Mystery,Romance;Policier;95.0;tt0093980;Sister, Sister;1987;primaryTitle
TRANSPORTEUR II (LE);LETERRIER Louis;2005;FRANCE;2024;28;16;1,8;TRANSPORTEUR II;Action,Drama,War;Action;90.0;tt0089881;Ran;1985;primaryTitle
MEMOIRE DANS LA PEAU (LA);LIMAN Doug;2001;ETATS UNIS;2024;28;17;1,5;MEMOIRE DANS LA PEAU;Drama,War;Historique;90.0;tt0003817;Dan;1914;primaryTitle
TRUE LIES LE CAMELEON;CAMERON James;1994;ETATS UNIS;2021;28;19;1,1;TRUE LIES LE CAMELEON;\N;;90.0;tt0074795;Lies;1976;primaryTitle
FAST AND FURIOUS TOKYO DRIFT;LIN Justin;2005;ETATS UNIS;2020;28;13;1,9;FAST AND FURIOUS TOKYO DRIFT;Action,Crime,Thriller;Policier;95.0;tt0463985;The Fast and the Furious: Tokyo Drift;2006;primaryTitle
FAST & FURIOUS 2;SINGLETON John;2003;ETATS UNIS;2022;28;15;1,6;FAST FURIOUS 2;Action,Crime,Thriller;Policier;95.0;tt0322259;2 Fast 2 Furious;2003;primaryTitle
